beschäftigt,326
unabhängig,293
dagmar,186
möchten,305
erforderlich,362
erlebt,278
verbunden,386
dirk,321
ausreichend,250
trägt,276
maria,233
tisch,254
bernd,297
lang,290
industrie,197
nationale,277
schulden,259
intensiv,309
einzelplan,599
partner,241
artikel,67
fällen,322
alter,262
bestehen,378
reaktorsicherheit,403
entscheidend,317
zeichen,273
frankreich,242
solidarität,218
osten,448
parlamentarische,334
entstehen,422
warten,259
schafft,286
falsche,321
behörden,279
vertreten,387
aufgeführten,296
oliver,0
syrien,66
beschließen,289
schließen,272
geleistet,353
sechs,300
beispiele,289
gabriele,323
kommenden,361
wenigen,305
ausdruck,336
arbeitgeber,315
harald,122
bürgern,322
europas,225
april,151
afd-fraktion,0
bauen,220
aktuell,130
parteien,221
eingebracht,342
nötig,275
debatten,281
bayern,220
jugendlichen,392
änderungen,297
petitionen,276
oktober,194
berichterstattung,456
stadtentwicklung,494
mitglieder,294
bundesländern,502
besondere,283
bahn,261
freuen,322
seiten,269
heil,59
wesentlichen,336
patienten,152
zweifel,320
basis,314
afrika,221
pandemie,22
wissenschaft,296
begrüßen,334
alten,477
überzeugt,347
früher,337
größte,264
alleine,179
vorgenommen,443
steffen,174
mitglied,252
ausgaben,532
herausforderung,230
aussage,318
prüfen,312
prinzip,316
risiken,328
betreiben,340
polizei,282
axel,251
lautet,337
erfahrungen,345
privaten,342
konsequenzen,347
verständnis,341
folge,336
betriebe,404
nachhaltige,263
jan,143
anerkennung,170
notwendige,339
verhalten,383
vorhaben,375
linie,317
geschehen,335
verpflichtet,272
stimme,338
bundesländer,382
nenne,353
sagte,274
kontrolle,296
justiz,320
genutzt,282
internet,126
großes,212
urteil,291
entscheidende,326
beginnen,292
tage,257
einzelne,271
grundgesetzes,380
verbessert,309
aktiv,207
ermöglicht,249
verloren,254
geschäftsordnung,222
wege,342
gestatten,372
unterschiedliche,310
staatsminister,424
perspektive,316
bestimmte,318
gegenstimmen,488
beantworten,302
lernen,266
größten,254
mussten,188
dienst,253
gespräche,227
männer,215
profitieren,254
fälle,299
geregelt,266
dauer,259
gedanken,241
zulassen,223
vorgehen,277
jung,356
dritten,252
finanzieren,305
knapp,251
hälfte,247
beteiligten,323
vorlegen,294
öffentlich,328
achten,290
kümmern,210
teilhabe,122
schule,272
pflicht,251
bulmahn,66
befinden,322
zweiter,236
her,256
steigen,304
aufgenommen,249
beitragen,321
verbesserungen,189
eins,300
standards,271
uhr,211
entspricht,344
bettina,66
finanzielle,270
änderungsantrag,268
umgang,191
gründe,268
veränderungen,322
vorlage,310
entlastung,219
wesentlich,334
mittwoch,77
hält,269
edelgard,50
bezahlen,217
läuft,246
ansprechen,363
hochschulen,335
positiv,372
christine,219
angekündigt,306
suchen,245
unterschiedlichen,250
betrieben,325
tätig,289
erfüllen,301
zuständig,261
beteiligen,288
waffen,117
stolz,208
umgehen,252
studie,199
lehnen,197
dieter,204
finanziellen,326
berücksichtigt,309
nachhaltig,218
massiv,169
mensch,214
instrumente,327
enthaltung,201
konsequent,284
überlegen,306
sanktionen,138
interfraktionellen,304
fällt,262
gabriel,311
geschlossen,222
beruf,246
angebot,288
haltung,252
scheint,295
geschafft,246
gelingt,297
personal,149
begriff,258
stabilität,196
eduard,104
karin,217
erfahren,253
jährlich,235
fahren,124
mitteln,313
überzeugung,317
schwierigen,203
erfolgen,280
formuliert,274
durchgeführt,252
vertreter,250
erfolgt,276
verändert,273
arbeitnehmerinnen,286
verfassung,435
vertrag,148
josef,353
rentenversicherung,369
stadt,160
paul,247
kai,150
kämpfen,117
bild,182
ernsthaft,222
abzulehnen,114
gesellschaftlichen,176
schneller,150
schröder,228
oswald,78
innenausschuss,338
worte,232
verantwortlich,245
zurzeit,347
höhere,270
manfred,205
abschluss,257
gegebene,16
maßnahme,246
umfang,323
parlaments,240
finanzen,463
verabschiedet,253
voraussetzung,251
arbeitslosigkeit,560
stunden,260
verhindert,232
rechtsausschuss,462
freien,182
bernhard,192
respekt,173
gerechtigkeit,223
absolut,170
initiativen,287
beenden,128
finanziert,239
verhältnis,277
vorgaben,192
joachim,369
bundeshaushalt,476
mut,355
demokratischen,251
steuerzahler,176
stichwort,284
finanzminister,332
sitzen,182
regel,228
bestimmten,319
bietet,268
gehe,289
daniela,62
begründung,273
jugendliche,284
anlass,290
bieten,227
schritte,268
sprache,215
sebastian,99
finanzausschuss,354
staatliche,238
folgt,238
kriterien,220
innern,198
nutzung,231
menge,212
hinzu,313
anträgen,186
beiträge,407
gehalten,281
ingrid,98
beste,210
gesetzgeber,321
private,263
erfüllt,274
juli,205
fortschritt,220
agenda,121
beschluss,238
marktwirtschaft,177
kern,217
erinnere,324
petitionsausschusses,240
rechtsstaat,121
verlieren,234
barbara,420
versprechen,181
umzusetzen,210
vorhanden,222
produkte,272
einrichtungen,176
bedenken,327
kurth,261
staates,322
bereiche,294
bundesministeriums,290
zugestimmt,176
denjenigen,264
schneider,300
diskussionen,282
außenpolitik,285
einnahmen,415
angemessen,201
wirkung,278
entwicklungen,252
bundesministerium,291
nicole,0
republik,353
aufbau,305
entwicklungszusammenarbeit,223
richtlinie,231
aufklärung,214
montag,334
gewährleisten,226
kanzlerin,213
kastner,1002
georg,349
monat,218
drittel,247
mittelstand,404
verfolgt,252
infrage,199
patrick,170
gefördert,250
abschließend,245
grunde,291
reduzieren,246
bitten,211
gegangen,217
geändert,222
reagieren,186
nachdenken,288
hinweis,253
scholz,119
ausschließlich,220
punkten,244
verbraucherinnen,223
konsens,217
brüssel,244
besonderen,206
generation,233
bisherigen,302
dargestellt,279
hoffnung,221
stattfinden,229
zusatzpunkt,171
berücksichtigen,282
danken,199
experten,202
gelingen,268
betonen,231
günter,249
verordnung,135
rolf,388
gewinnen,306
anzunehmen,257
mitte,192
erheben,244
angewiesen,164
strom,88
digitalen,38
genannten,646
dialog,266
einführen,140
erlauben,239
kritisiert,266
jetzigen,263
sozial,255
einfluss,239
wohlstand,146
bestätigt,224
außenminister,229
gestärkt,188
erkenntnisse,190
dauerhaft,224
heike,100
bürokratie,431
kauder,268
verlangen,228
lothar,272
künast,271
straße,130
risiko,222
laufen,190
positive,306
rechnung,231
fehlen,162
schriftlich,171
cornelia,414
hintze,98
anforderungen,183
starke,146
verdienen,178
funktionieren,153
lindner,3
bemerkung,267
singhammer,94
franz,574
staatlichen,258
gewerkschaften,251
verlängerung,230
acht,170
grundsatz,258
zusätzlichen,284
passt,163
löhne,210
behaupten,196
buchstabe,77
iran,399
ausschussfassung,231
schaden,151
zimmermann,106
ute,281
philipp,128
reichen,179
wohnen,82
heinrich,212
netz,132
ablehnung,173
kritisieren,223
gruppe,187
generationen,267
schäfer,317
geschrieben,199
mobilität,130
elisabeth,112
lesung,227
langfristig,246
abschaffung,193
ideen,154
behandelt,198
zitat,167
gesorgt,148
bedanke,217
gewählt,177
willen,171
abstimmen,171
monika,393
kirsten,135
verändern,199
leyen,136
anlage,208
ausgesprochen,274
bestehenden,229
nachhaltigkeit,138
spielt,213
ursula,174
angehen,227
zitieren,215
alternative,262
verfolgen,227
gemeinschaft,223
ausgeführt,250
vermeiden,211
verstehe,204
anschauen,156
vorliegende,148
wunsch,158
gestimmt,141
gedacht,175
besseren,195
ddr,136
sparen,338
entlasten,94
verschiedene,192
aspekt,252
komplett,102
dient,210
ulrike,335
gestiegen,208
vorliegen,171
programme,262
circa,230
sport,123
nordrhein-westfalen,154
debattieren,170
sylvia,127
ströbele,178
fakten,167
vernünftige,225
kritisch,240
rot-grün,342
senken,354
gewährleistet,246
reinhard,343
passieren,166
anja,171
fallen,200
gysi,255
krankenversicherung,341
gearbeitet,155
globalen,135
anzahl,190
ablehnen,150
betrieb,193
jahrzehnten,165
grenze,138
sommer,149
vielfalt,152
sieben,313
fritz,232
argument,196
haushalte,399
erhebliche,233
max,279
angelegenheiten,189
geschieht,256
tagesordnungspunkte,175
wahlkreis,151
allgemeinen,234
investiert,204
vornehmen,218
altmaier,135
präsidenten,170
verteidigung,156
milliarde,204
andrea,188
trifft,206
wahlen,236
sicherung,268
grundsicherung,149
vernünftig,235
gelesen,188
rechnen,213
motto,252
beschrieben,187
breite,200
gesetzlich,162
branche,137
dar,224
gruppen,142
verzichten,257
botschaft,178
bedeuten,214
notwendigkeit,250
alte,250
festhalten,221
anstrengungen,294
richten,193
federführung,103
gesetzentwurfs,176
anfrage,153
mali,1
eröffnet,229
kosovo,120
bezahlt,117
bedanken,207
mitarbeiterinnen,128
schönen,158
technikfolgenabschätzung,230
akzeptanz,156
erfahrung,206
beziehen,214
verbot,122
durchsetzen,217
gefahren,176
ständig,287
hinweg,172
rat,200
spahn,75
mission,157
verpflichtung,177
unionsfraktion,169
worten,164
organisationen,170
begrüße,240
trittin,227
wohnungen,66
tourismus,216
beantwortung,274
annette,242
gefallen,191
krischer,0
hierfür,194
israel,257
zeitraum,258
erfolge,235
zentralen,190
bewegen,246
gesellschaftliche,129
kooperation,170
erkannt,190
WAHR,233
jörg,397
wandel,117
absatz,29
wirtschaftlich,175
gespräch,150
erwartet,222
institutionen,181
herbst,155
behauptet,197
beendet,150
haßelmann,135
marco,116
maße,287
modell,235
falschen,164
vorschriften,199
städte,137
lötzsch,280
zügig,157
höhn,307
